,freq_zipf_z,word_len_z,dep_dist_z,depth_z,integration_cost_z
freq_zipf_z,1.0,-0.7402251277287868,-0.01178319243208213,0.1205172148770376,-0.12432110054868005
word_len_z,-0.7402251277287868,1.0,-0.02294516813817773,-0.10685410803002936,0.08523365529661037
dep_dist_z,-0.01178319243208213,-0.02294516813817773,1.0,-0.1887685016126538,0.722942530364212
depth_z,0.1205172148770376,-0.10685410803002936,-0.1887685016126538,1.0,-0.11315793084258113
integration_cost_z,-0.12432110054868005,0.08523365529661037,0.722942530364212,-0.11315793084258113,1.0
