term,coef,se,ci_lo,ci_hi
Intercept,0.036537484761831066,0.01829070898769665,0.0006883538942425646,0.07238661562941956
"C(condition, Sum)[S.neg]",-0.30545281161862103,0.01387315343866604,-0.3326436927104045,-0.27826193052683756
"C(condition, Sum)[S.pos]",0.3989058807232842,0.014393797287669381,0.3706945564386819,0.4271172050078865
subject_id Var,0.003191607699465073,0.001844226838011358,-0.00042301048235937307,0.00680622588128952
stimulus Var,0.01705306544847756,0.003503691251154054,0.010185956783267534,0.023920174113687586
